status	source_video	result_video	artifacts_dir	data_dir	track_id	frame_count	kept	avg_bbox_area	avg_confidence	first_frame_idx	last_frame_idx	quality_pass	quality_note	error
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0027	2	0	3086.86	0.3723	245	246	0	too_short,small_bbox	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0028	1	0	6725.31	0.4033	251	251	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0029	1	0	2725.07	0.3707	252	252	0	too_short,small_bbox	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0030	3	0	24930.35	0.3725	260	265	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0031	24	1	10076.23	0.5271	262	289	0	borderline_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0032	4	0	4583.33	0.4716	272	281	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0033	2	0	23972.30	0.3711	272	274	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0034	29	1	9852.83	0.5270	282	328	0	borderline_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0035	15	0	8393.15	0.4921	288	302	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0036	45	1	26145.78	0.5110	289	349	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0037	45	1	22598.08	0.7261	292	344	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0038	1	0	11350.04	0.3608	298	298	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0039	26	1	14025.17	0.7232	301	329	0	borderline_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0040	1	0	3592.03	0.4082	300	300	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0041	2	0	3659.45	0.4726	303	304	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0042	21	1	12748.30	0.7185	305	327	0	borderline_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0043	8	0	9783.71	0.5808	304	332	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0044	4	0	3387.11	0.4453	306	309	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0045	15	0	8072.69	0.5256	306	323	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0046	9	0	12163.66	0.6704	307	330	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0047	1	0	7179.33	0.5847	310	310	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0048	2	0	3484.20	0.4926	311	312	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0049	1	0	7771.02	0.4280	311	311	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0050	6	0	7319.92	0.5579	313	318	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0051	5	0	7855.82	0.4813	313	317	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0052	4	0	7730.59	0.4901	316	324	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0053	3	0	3804.87	0.3994	317	319	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0054	6	0	9776.32	0.5007	319	341	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0055	1	0	3959.69	0.4387	321	321	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0056	11	0	9421.37	0.5869	322	346	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0057	3	0	9231.40	0.5999	327	331	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0058	5	0	11087.50	0.6629	328	334	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0059	3	0	9162.79	0.5770	329	333	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0060	7	0	12519.45	0.5380	329	348	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0061	4	0	10439.30	0.6386	330	335	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0062	4	0	10887.40	0.6463	331	336	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0063	4	0	10624.23	0.6612	332	337	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0064	4	0	11103.72	0.6197	333	338	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0065	4	0	11259.49	0.6723	334	339	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0066	4	0	10987.65	0.6064	335	340	0	too_short	
